sitename,range,column,lat,lon,date,cultivar,aboveground_dry_biomass,units
MAC Field Scanner Season 6 Range 12 Column 14,12,14,33.074943026252306,-111.97483490164801,2018-08-01,PI651496,17600.0,kg / ha
MAC Field Scanner Season 6 Range 13 Column 3,13,3,33.0749789099009,-111.975014978822,2018-08-01,PI562732,12200.0,kg / ha
MAC Field Scanner Season 6 Range 13 Column 7,13,7,33.0749789312127,-111.974949502169,2018-08-01,PI156487,15400.0,kg / ha
MAC Field Scanner Season 6 Range 14 Column 2,14,2,33.0750148467161,-111.975031364491,2018-08-01,PI218112,11800.0,kg / ha
MAC Field Scanner Season 6 Range 14 Column 12,14,12,33.0750148999035,-111.97486767282,2018-08-01,PI641821,19200.0,kg / ha
MAC Field Scanner Season 6 Range 15 Column 2,15,2,33.0750507888196,-111.975031381005,2018-08-01,PI267573,5370.0,kg / ha
MAC Field Scanner Season 6 Range 16 Column 9,16,9,33.0750867681009,-111.97491681323,2018-08-01,PI330196,11000.0,kg / ha
MAC Field Scanner Season 6 Range 16 Column 14,16,14,33.0750867946727,-111.97483496731199,2018-08-01,PI563022,9830.0,kg / ha
MAC Field Scanner Season 6 Range 17 Column 11,17,11,33.0751227208403,-111.97488409131701,2018-08-01,PI330807,13600.0,kg / ha
MAC Field Scanner Season 6 Range 18 Column 2,18,2,33.075158615084,-111.975031430485,2018-08-01,PI514456,8130.0,kg / ha
MAC Field Scanner Season 6 Range 18 Column 3,18,3,33.0751586203953,-111.975015061285,2018-08-01,PI297155,4140.0,kg / ha
MAC Field Scanner Season 6 Range 19 Column 4,19,4,33.0751945678301,-111.97499870859,2018-08-01,PI297155,6410.0,kg / ha
MAC Field Scanner Season 6 Range 21 Column 9,21,9,33.0752664786187,-111.974916895503,2018-08-01,PI641835,18200.0,kg / ha
MAC Field Scanner Season 6 Range 22 Column 5,22,5,33.075302399467304,-111.974982388858,2018-08-01,PI329351,10500.0,kg / ha
MAC Field Scanner Season 6 Range 24 Column 3,24,3,33.0753742730312,-111.97501516026001,2018-08-01,PI329665,5190.0,kg / ha
MAC Field Scanner Season 6 Range 24 Column 7,24,7,33.0753742942981,-111.97494968334401,2018-08-01,PI562997,6330.0,kg / ha
MAC Field Scanner Season 6 Range 25 Column 4,25,4,33.0754102204655,-111.974998807528,2018-08-01,PI329517,5720.0,kg / ha
MAC Field Scanner Season 6 Range 25 Column 6,25,6,33.0754102311017,-111.974966069037,2018-08-01,PI329841,20700.0,kg / ha
MAC Field Scanner Season 6 Range 25 Column 11,25,11,33.0754102576435,-111.97488422287701,2018-08-01,PI154846,15600.0,kg / ha
MAC Field Scanner Season 6 Range 25 Column 15,25,15,33.0754102788752,-111.974818745929,2018-08-01,PI570075,6190.0,kg / ha
MAC Field Scanner Season 6 Range 26 Column 6,26,6,33.0754461732035,-111.974966085528,2018-08-01,PI329465,10100.0,kg / ha
MAC Field Scanner Season 6 Range 27 Column 7,27,7,33.075482120608896,-111.974949732759,2018-08-01,PI505735,11900.0,kg / ha
MAC Field Scanner Season 6 Range 27 Column 12,27,12,33.0754821471636,-111.974867886528,2018-08-01,PI585461,10600.0,kg / ha
MAC Field Scanner Season 6 Range 29 Column 4,29,4,33.075553988847105,-111.97499887352801,2018-08-01,PI303658,8040.0,kg / ha
MAC Field Scanner Season 6 Range 29 Column 11,29,11,33.0755540260517,-111.974884288641,2018-08-01,PI643008,14900.0,kg / ha
MAC Field Scanner Season 6 Range 29 Column 13,29,13,33.0755540366816,-111.974851550101,2018-08-01,PI570091,10800.0,kg / ha
MAC Field Scanner Season 6 Range 31 Column 11,31,11,33.075625910232,-111.97488432155599,2018-08-01,PI329710,11300.0,kg / ha
MAC Field Scanner Season 6 Range 32 Column 7,32,7,33.075661831091,-111.974949815169,2018-08-01,PI196598,13900.0,kg / ha
MAC Field Scanner Season 6 Range 34 Column 2,34,2,33.075733688696104,-111.975031694572,2018-08-01,PI506030,6490.0,kg / ha
MAC Field Scanner Season 6 Range 34 Column 6,34,6,33.0757337099645,-111.974966217386,2018-08-01,PI586435,16900.0,kg / ha
MAC Field Scanner Season 6 Range 34 Column 10,34,10,33.0757337312156,-111.974900740226,2018-08-01,PI569419,10300.0,kg / ha
MAC Field Scanner Season 6 Range 35 Column 5,35,5,33.075769646757195,-111.974982603187,2018-08-01,PI651495,15500.0,kg / ha
MAC Field Scanner Season 6 Range 35 Column 13,35,13,33.0757696892436,-111.974851648759,2018-08-01,PI156178,16000.0,kg / ha
MAC Field Scanner Season 6 Range 36 Column 2,36,2,33.0758055728324,-111.97503172758002,2018-08-01,PI641807,11400.0,kg / ha
MAC Field Scanner Season 6 Range 36 Column 3,36,3,33.075805578168605,-111.975015358264,2018-08-01,PI152966,14400.0,kg / ha
MAC Field Scanner Season 6 Range 39 Column 4,39,4,33.075913409822,-111.974999038463,2018-08-01,PI330195,7200.0,kg / ha
MAC Field Scanner Season 6 Range 39 Column 6,39,6,33.075913420461696,-111.97496629978599,2018-08-01,PI167093,13100.0,kg / ha
MAC Field Scanner Season 6 Range 39 Column 7,39,7,33.0759134257449,-111.974949930457,2018-08-01,PI329300,18600.0,kg / ha
MAC Field Scanner Season 6 Range 39 Column 9,39,9,33.0759134363888,-111.97491719180599,2018-08-01,PI154844,20200.0,kg / ha
MAC Field Scanner Season 6 Range 39 Column 11,39,11,33.0759134470123,-111.97488445316002,2018-08-01,PI570388,20700.0,kg / ha
MAC Field Scanner Season 6 Range 39 Column 12,39,12,33.0759134523295,-111.974868083823,2018-08-01,PI569447,6440.0,kg / ha
MAC Field Scanner Season 6 Range 41 Column 2,41,2,33.075985283302195,-111.975031810174,2018-08-01,PI329545,6650.0,kg / ha
MAC Field Scanner Season 6 Range 41 Column 3,41,3,33.075985288639004,-111.975015440825,2018-08-01,PI505717,11200.0,kg / ha
MAC Field Scanner Season 6 Range 44 Column 13,44,13,33.0760931681187,-111.97485179666701,2018-08-01,PI524475,11600.0,kg / ha
MAC Field Scanner Season 6 Range 44 Column 14,44,14,33.076093173432305,-111.974835427297,2018-08-01,PI526905,10500.0,kg / ha
MAC Field Scanner Season 6 Range 45 Column 7,45,7,33.0761290783576,-111.97495002937599,2018-08-01,PI569465,12800.0,kg / ha
MAC Field Scanner Season 6 Range 46 Column 6,46,6,33.0761650150868,-111.97496641522,2018-08-01,PI152651,9560.0,kg / ha
MAC Field Scanner Season 6 Range 46 Column 9,46,9,33.076165031083995,-111.97491730709801,2018-08-01,PI564163,11100.0,kg / ha
MAC Field Scanner Season 6 Range 46 Column 13,46,13,33.0761650522933,-111.97485182956699,2018-08-01,PI563002,12700.0,kg / ha
MAC Field Scanner Season 6 Range 46 Column 14,46,14,33.0761650575845,-111.97483546018,2018-08-01,PI329518,9580.0,kg / ha
MAC Field Scanner Season 6 Range 47 Column 7,47,7,33.076200962508004,-111.974950062299,2018-08-01,PI569148,15200.0,kg / ha
MAC Field Scanner Season 6 Range 47 Column 10,47,10,33.0762009784817,-111.97490095418301,2018-08-01,PI569453,13500.0,kg / ha
MAC Field Scanner Season 6 Range 47 Column 11,47,11,33.076200983802096,-111.97488458479299,2018-08-01,PI152730,18100.0,kg / ha
MAC Field Scanner Season 6 Range 48 Column 10,48,10,33.0762369205568,-111.974900970652,2018-08-01,PI329403,17700.0,kg / ha
MAC Field Scanner Season 6 Range 48 Column 14,48,14,33.076236941826004,-111.974835493065,2018-08-01,PI569455,10000.0,kg / ha
MAC Field Scanner Season 6 Range 49 Column 3,49,3,33.076272825435,-111.975015572864,2018-08-01,PI156890,8530.0,kg / ha
MAC Field Scanner Season 6 Range 49 Column 5,49,5,33.0762728360868,-111.97498283408501,2018-08-01,PI585461,10900.0,kg / ha
MAC Field Scanner Season 6 Range 49 Column 9,49,9,33.076272857332,-111.97491735647499,2018-08-01,PI329286,12200.0,kg / ha
MAC Field Scanner Season 6 Range 49 Column 15,49,15,33.0762728892135,-111.974819140104,2018-08-01,PI329301,11800.0,kg / ha
MAC Field Scanner Season 6 Range 50 Column 14,50,14,33.076308825976604,-111.97483552595101,2018-08-01,PI641836,15100.0,kg / ha
MAC Field Scanner Season 6 Range 51 Column 6,51,6,33.0763447255838,-111.974966497648,2018-08-01,PI267573,12800.0,kg / ha
MAC Field Scanner Season 6 Range 51 Column 7,51,7,33.0763447308958,-111.974950128258,2018-08-01,PI620157,12700.0,kg / ha
MAC Field Scanner Season 6 Range 51 Column 11,51,11,33.0763447521923,-111.974884650592,2018-08-01,PI266927,14000.0,kg / ha
MAC Field Scanner Season 6 Range 52 Column 8,52,8,33.0763806783146,-111.974933775299,2018-08-01,SP1516,16300.0,kg / ha
MAC Field Scanner Season 6 Range 3 Column 10,3,10,33.0746195261384,-111.974900230245,2018-07-31,SP1516,13900.0,kg / ha
