date_of_flowering,sitename,lat,lon,trait_description,days_to_flowering,cultivar,range,pass,gdd
2016-08-25,Ashland Bottoms KSU 2016 Season Range 13 Pass 19,39.139315484531004,-96.6313820179362,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",69.0,PI196586,13,19,1153.0
2016-08-26,Ashland Bottoms KSU 2016 Season Range 5 Pass 12,39.139031504486,-96.631624489235,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",70.0,Macia,5,12,1166.0
2016-08-27,Ashland Bottoms KSU 2016 Season Range 11 Pass 19,39.1392439854935,-96.6313812518034,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",71.0,PI641850,11,19,1180.0
2016-08-27,Ashland Bottoms KSU 2016 Season Range 9 Pass 15,39.1391727780231,-96.6315212849259,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",71.0,PI196598,9,15,1180.0
2016-08-27,Ashland Bottoms KSU 2016 Season Range 10 Pass 17,39.1392081519176,-96.6314514594828,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",71.0,PI655983,10,17,1180.0
2016-08-28,Ashland Bottoms KSU 2016 Season Range 14 Pass 12,39.1393531418911,-96.6316286406662,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",72.0,PI641892,14,12,1196.0
2016-08-28,Ashland Bottoms KSU 2016 Season Range 13 Pass 26,39.1393135026143,-96.63113405780149,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",72.0,PI146890,13,26,1196.0
2016-08-28,Ashland Bottoms KSU 2016 Season Range 2 Pass 19,39.1389228397366,-96.6313777914625,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",72.0,Macia,2,19,1196.0
2016-08-29,Ashland Bottoms KSU 2016 Season Range 15 Pass 2,39.1393922996197,-96.6319820850611,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",73.0,PI641807,15,2,1212.0
2016-08-29,Ashland Bottoms KSU 2016 Season Range 13 Pass 8,39.1393185983566,-96.6317701729784,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",73.0,PI251672,13,8,1212.0
2016-08-29,Ashland Bottoms KSU 2016 Season Range 4 Pass 22,39.138993050444896,-96.6312717645117,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",73.0,SC35,4,22,1212.0
2016-08-29,Ashland Bottoms KSU 2016 Season Range 12 Pass 21,39.1392794302879,-96.6313108121805,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",73.0,PI653616,12,21,1212.0
2016-08-29,Ashland Bottoms KSU 2016 Season Range 11 Pass 16,39.139244810493004,-96.6314868084914,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",73.0,PI651491,11,16,1212.0
2016-08-30,Ashland Bottoms KSU 2016 Season Range 11 Pass 7,39.1392472788414,-96.63180436360909,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",74.0,PI152694,11,7,1226.0
2016-08-30,Ashland Bottoms KSU 2016 Season Range 12 Pass 26,39.139277927654796,-96.6311336019322,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",74.0,PI152862,12,26,1226.0
2016-08-31,Ashland Bottoms KSU 2016 Season Range 13 Pass 12,39.1393174580281,-96.6316281696067,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",75.0,PI147224,13,12,1238.0
2016-09-02,Ashland Bottoms KSU 2016 Season Range 8 Pass 15,39.1391371670104,-96.6315208577877,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",77.0,PI147224,8,15,1258.0
2016-09-03,Ashland Bottoms KSU 2016 Season Range 2 Pass 25,39.1389209631278,-96.63116415677179,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",78.0,Dale,2,25,1270.0
2016-09-03,Ashland Bottoms KSU 2016 Season Range 5 Pass 20,39.1390295142306,-96.6313434607424,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",78.0,Dale,5,20,1270.0
2016-09-05,Ashland Bottoms KSU 2016 Season Range 7 Pass 4,39.1391043982114,-96.6319076622147,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",80.0,Dale,7,4,1302.0
2016-09-06,Ashland Bottoms KSU 2016 Season Range 15 Pass 6,39.139390951538296,-96.6318406381336,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",81.0,PI255744,15,6,1321.0
2016-09-06,Ashland Bottoms KSU 2016 Season Range 14 Pass 5,39.1393550607656,-96.6318754155973,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",81.0,PI651491,14,5,1321.0
2016-09-07,Ashland Bottoms KSU 2016 Season Range 11 Pass 9,39.139246728999,-96.6317338010119,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",82.0,PI221548,11,9,1340.0
2016-09-07,Ashland Bottoms KSU 2016 Season Range 11 Pass 11,39.1392461746565,-96.6316622463925,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",82.0,PI145619,11,11,1340.0
2016-09-08,Ashland Bottoms KSU 2016 Season Range 12 Pass 10,39.1392827160269,-96.63169826753479,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",83.0,PI217691,12,10,1354.0
2016-09-08,Ashland Bottoms KSU 2016 Season Range 8 Pass 22,39.1391352452556,-96.6312735272675,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",83.0,PI562730,8,22,1354.0
2016-09-09,Ashland Bottoms KSU 2016 Season Range 26 Pass 7,39.1397826702858,-96.6318112182967,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",84.0,PI643008,26,7,1369.0
2016-09-09,Ashland Bottoms KSU 2016 Season Range 14 Pass 25,39.1393495789843,-96.63116967433491,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",84.0,PI152971,14,25,1369.0
2016-09-09,Ashland Bottoms KSU 2016 Season Range 12 Pass 23,39.139278830300796,-96.6312399582477,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",84.0,PI145619,12,23,1369.0
2016-09-09,Ashland Bottoms KSU 2016 Season Range 10 Pass 18,39.139207801725,-96.6314159795203,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",84.0,PI651497,10,18,1369.0
2016-09-10,Ashland Bottoms KSU 2016 Season Range 10 Pass 8,39.13921131524221,-96.63176887947071,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",85.0,PI651497,10,8,1377.0
2016-09-10,Ashland Bottoms KSU 2016 Season Range 21 Pass 8,39.1396050542349,-96.63177363247792,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",85.0,PI152961,21,8,1377.0
2016-09-10,Ashland Bottoms KSU 2016 Season Range 13 Pass 16,39.1393163343325,-96.63148761159461,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",85.0,PI152771,13,16,1377.0
2016-09-10,Ashland Bottoms KSU 2016 Season Range 30 Pass 15,39.1399235077057,-96.6315303099378,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",85.0,PI152961,30,15,1377.0
2016-09-10,Ashland Bottoms KSU 2016 Season Range 24 Pass 11,39.1397112512507,-96.63166823202421,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",85.0,PI511355,24,11,1377.0
2016-09-11,Ashland Bottoms KSU 2016 Season Range 12 Pass 24,39.139278526441295,-96.6312044750446,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",86.0,PI651493,12,24,1386.0
2016-09-12,Ashland Bottoms KSU 2016 Season Range 28 Pass 10,39.139852849011795,-96.63170532551621,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",87.0,PI152967,28,10,1402.0
2016-09-12,Ashland Bottoms KSU 2016 Season Range 12 Pass 13,39.13928182555429,-96.6315927994575,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",87.0,PI651493,12,13,1402.0
2016-09-12,Ashland Bottoms KSU 2016 Season Range 9 Pass 26,39.1391687127461,-96.6311321720692,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",87.0,PI217691,9,26,1402.0
2016-09-13,Ashland Bottoms KSU 2016 Season Range 25 Pass 6,39.139747496999895,-96.631844935328,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",88.0,PI646242,25,6,1412.0
2016-09-14,Ashland Bottoms KSU 2016 Season Range 25 Pass 19,39.1397436136224,-96.6313866303796,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",89.0,PI257600,25,19,1421.0
