date,plot,range,column,scientificname,genotype,height_block,method,aboveground_dry_biomass,units,method_type
2018-08-01,MAC Field Scanner Season 6 Range 14 Column 12,14,12,Sorghum bicolor,PI641821,short,Whole above ground biomass at harvest,19200,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 15 Column 2,15,2,Sorghum bicolor,PI267573,tall,Whole above ground biomass at harvest,5370,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 16 Column 9,16,9,Sorghum bicolor,PI330196,tall,Whole above ground biomass at harvest,11000,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 16 Column 14,16,14,Sorghum bicolor,PI563022,tall,Whole above ground biomass at harvest,9830,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 17 Column 11,17,11,Sorghum bicolor,PI330807,short,Whole above ground biomass at harvest,13600,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 18 Column 2,18,2,Sorghum bicolor,PI514456,tall,Whole above ground biomass at harvest,8130,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 18 Column 3,18,3,Sorghum bicolor,PI297155,tall,Whole above ground biomass at harvest,4140,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 19 Column 4,19,4,Sorghum bicolor,PI297155,tall,Whole above ground biomass at harvest,6410,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 22 Column 5,22,5,Sorghum bicolor,PI329351,tall,Whole above ground biomass at harvest,10500,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 24 Column 3,24,3,Sorghum bicolor,PI329665,tall,Whole above ground biomass at harvest,5190,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 24 Column 7,24,7,Sorghum bicolor,PI562997,tall,Whole above ground biomass at harvest,6330,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 25 Column 4,25,4,Sorghum bicolor,PI329517,tall,Whole above ground biomass at harvest,5720,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 25 Column 6,25,6,Sorghum bicolor,PI329841,tall,Whole above ground biomass at harvest,20700,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 25 Column 11,25,11,Sorghum bicolor,PI154846,tall,Whole above ground biomass at harvest,15600,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 25 Column 15,25,15,Sorghum bicolor,PI570075,tall,Whole above ground biomass at harvest,6190,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 26 Column 6,26,6,Sorghum bicolor,PI329465,tall,Whole above ground biomass at harvest,10100,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 27 Column 7,27,7,Sorghum bicolor,PI505735,tall,Whole above ground biomass at harvest,11900,kg/ha,manual
