date,sitename,range,pass,lat,lon,cultivar,trait_description,canopy_height_cm
2016-07-21 00:00:00-05:00,Ashland Bottoms KSU 2016 Season Range 8 Pass 2,8,2,39.1391407325197,-96.6319789571765,PI535793,"top of the general canopy of the plant, discounting any exceptional branches, leaves or photosynthetic portions of the inflorescence.",69.3
2016-07-21 00:00:00-05:00,Ashland Bottoms KSU 2016 Season Range 6 Pass 21,6,21,39.1390645746558,-96.63130803037691,PI533998,"top of the general canopy of the plant, discounting any exceptional branches, leaves or photosynthetic portions of the inflorescence.",59.7
2016-07-21 00:00:00-05:00,Ashland Bottoms KSU 2016 Season Range 2 Pass 26,2,26,39.138920655015504,-96.63112891729341,PI533792,"top of the general canopy of the plant, discounting any exceptional branches, leaves or photosynthetic portions of the inflorescence.",67.7
2016-07-21 00:00:00-05:00,Ashland Bottoms KSU 2016 Season Range 6 Pass 3,6,3,39.13906951830371,-96.6319429038595,PI533792,"top of the general canopy of the plant, discounting any exceptional branches, leaves or photosynthetic portions of the inflorescence.",82.7
2016-07-21 00:00:00-05:00,Ashland Bottoms KSU 2016 Season Range 2 Pass 4,2,4,39.1389274832079,-96.6319055124706,PI533998,"top of the general canopy of the plant, discounting any exceptional branches, leaves or photosynthetic portions of the inflorescence.",38.3
2016-07-21 00:00:00-05:00,Ashland Bottoms KSU 2016 Season Range 29 Pass 12,29,12,39.139887990580704,-96.6316355269551,PI521290,"top of the general canopy of the plant, discounting any exceptional branches, leaves or photosynthetic portions of the inflorescence.",85.0
2016-07-21 00:00:00-05:00,Ashland Bottoms KSU 2016 Season Range 32 Pass 13,32,13,39.1399947345478,-96.63160204513521,PI524475,"top of the general canopy of the plant, discounting any exceptional branches, leaves or photosynthetic portions of the inflorescence.",58.7
2016-07-21 00:00:00-05:00,Ashland Bottoms KSU 2016 Season Range 35 Pass 23,35,23,39.140098384902004,-96.63124934372058,PI524475,"top of the general canopy of the plant, discounting any exceptional branches, leaves or photosynthetic portions of the inflorescence.",79.3
2016-07-21 00:00:00-05:00,Ashland Bottoms KSU 2016 Season Range 16 Pass 24,16,24,39.1394206518773,-96.6312061704302,PI570373,"top of the general canopy of the plant, discounting any exceptional branches, leaves or photosynthetic portions of the inflorescence.",80.7
2016-07-21 00:00:00-05:00,Ashland Bottoms KSU 2016 Season Range 25 Pass 9,25,9,39.1397466090841,-96.63173960267339,PI563338,"top of the general canopy of the plant, discounting any exceptional branches, leaves or photosynthetic portions of the inflorescence.",84.7
2016-07-21 00:00:00-05:00,Ashland Bottoms KSU 2016 Season Range 1 Pass 3,1,3,39.1388939770864,-96.6319408742689,PI561840,"top of the general canopy of the plant, discounting any exceptional branches, leaves or photosynthetic portions of the inflorescence.",73.3
2016-07-21 00:00:00-05:00,Ashland Bottoms KSU 2016 Season Range 26 Pass 3,26,3,39.139783647617,-96.6319511398851,PI562982,"top of the general canopy of the plant, discounting any exceptional branches, leaves or photosynthetic portions of the inflorescence.",69.3
2016-07-21 00:00:00-05:00,Ashland Bottoms KSU 2016 Season Range 17 Pass 10,17,10,39.1394604340898,-96.6317004656868,PI563350,"top of the general canopy of the plant, discounting any exceptional branches, leaves or photosynthetic portions of the inflorescence.",81.3
2016-07-21 00:00:00-05:00,Ashland Bottoms KSU 2016 Season Range 18 Pass 15,18,15,39.1394946728546,-96.6315251500148,PI563338,"top of the general canopy of the plant, discounting any exceptional branches, leaves or photosynthetic portions of the inflorescence.",82.0
2016-07-21 00:00:00-05:00,Ashland Bottoms KSU 2016 Season Range 18 Pass 16,18,16,39.139494395096605,-96.6314896256061,PI563332,"top of the general canopy of the plant, discounting any exceptional branches, leaves or photosynthetic portions of the inflorescence.",113.0
2016-07-21 00:00:00-05:00,Ashland Bottoms KSU 2016 Season Range 30 Pass 7,30,7,39.1399254921798,-96.6318130481708,PI563196,"top of the general canopy of the plant, discounting any exceptional branches, leaves or photosynthetic portions of the inflorescence.",88.3
2016-07-21 00:00:00-05:00,Ashland Bottoms KSU 2016 Season Range 34 Pass 26,34,26,39.140062364612795,-96.6311438695249,PI563196,"top of the general canopy of the plant, discounting any exceptional branches, leaves or photosynthetic portions of the inflorescence.",101.0
2016-07-21 00:00:00-05:00,Ashland Bottoms KSU 2016 Season Range 23 Pass 23,23,23,39.1396719227945,-96.63124445590158,PI563222,"top of the general canopy of the plant, discounting any exceptional branches, leaves or photosynthetic portions of the inflorescence.",64.3
2016-07-21 00:00:00-05:00,Ashland Bottoms KSU 2016 Season Range 29 Pass 7,29,7,39.1398893233126,-96.6318125819429,PI563222,"top of the general canopy of the plant, discounting any exceptional branches, leaves or photosynthetic portions of the inflorescence.",85.3
2016-07-21 00:00:00-05:00,Ashland Bottoms KSU 2016 Season Range 33 Pass 5,33,5,39.1400337109131,-96.6318832626148,PI563006,"top of the general canopy of the plant, discounting any exceptional branches, leaves or photosynthetic portions of the inflorescence.",87.0
2016-07-21 00:00:00-05:00,Ashland Bottoms KSU 2016 Season Range 15 Pass 21,15,21,39.139385966069,-96.6313121878208,PI563009,"top of the general canopy of the plant, discounting any exceptional branches, leaves or photosynthetic portions of the inflorescence.",79.7
2016-07-21 00:00:00-05:00,Ashland Bottoms KSU 2016 Season Range 24 Pass 9,24,9,39.1397118690984,-96.6317392072755,PI563021,"top of the general canopy of the plant, discounting any exceptional branches, leaves or photosynthetic portions of the inflorescence.",54.3
2016-07-21 00:00:00-05:00,Ashland Bottoms KSU 2016 Season Range 32 Pass 22,32,22,39.1399921767979,-96.63128410293491,PI563032,"top of the general canopy of the plant, discounting any exceptional branches, leaves or photosynthetic portions of the inflorescence.",61.0
2016-07-21 00:00:00-05:00,Ashland Bottoms KSU 2016 Season Range 18 Pass 20,18,20,39.139493303111294,-96.6313490633585,PI562991,"top of the general canopy of the plant, discounting any exceptional branches, leaves or photosynthetic portions of the inflorescence.",88.7
2016-07-21 00:00:00-05:00,Ashland Bottoms KSU 2016 Season Range 20 Pass 13,20,13,39.1395675489298,-96.631596500799,PI562991,"top of the general canopy of the plant, discounting any exceptional branches, leaves or photosynthetic portions of the inflorescence.",68.0
2016-07-21 00:00:00-05:00,Ashland Bottoms KSU 2016 Season Range 31 Pass 19,31,19,39.1399576737568,-96.63138894182241,PI562997,"top of the general canopy of the plant, discounting any exceptional branches, leaves or photosynthetic portions of the inflorescence.",55.7
2016-07-21 00:00:00-05:00,Ashland Bottoms KSU 2016 Season Range 33 Pass 7,33,7,39.1400331408684,-96.6318144284243,PI562998,"top of the general canopy of the plant, discounting any exceptional branches, leaves or photosynthetic portions of the inflorescence.",69.7
2016-07-21 00:00:00-05:00,Ashland Bottoms KSU 2016 Season Range 16 Pass 17,16,17,39.1394227559526,-96.63145387096229,PI563002,"top of the general canopy of the plant, discounting any exceptional branches, leaves or photosynthetic portions of the inflorescence.",84.3
2016-07-21 00:00:00-05:00,Ashland Bottoms KSU 2016 Season Range 21 Pass 21,21,21,39.1396020402413,-96.6313149829796,PI562982,"top of the general canopy of the plant, discounting any exceptional branches, leaves or photosynthetic portions of the inflorescence.",71.7
2016-07-21 00:00:00-05:00,Ashland Bottoms KSU 2016 Season Range 34 Pass 10,34,10,39.1400679696666,-96.6317079905599,PI562990,"top of the general canopy of the plant, discounting any exceptional branches, leaves or photosynthetic portions of the inflorescence.",77.0
2016-07-21 00:00:00-05:00,Ashland Bottoms KSU 2016 Season Range 33 Pass 26,33,26,39.140027591823504,-96.63114341474329,PI570371,"top of the general canopy of the plant, discounting any exceptional branches, leaves or photosynthetic portions of the inflorescence.",63.0
2016-07-21 00:00:00-05:00,Ashland Bottoms KSU 2016 Season Range 28 Pass 17,28,17,39.139850940471895,-96.6314586848514,PI330168,"top of the general canopy of the plant, discounting any exceptional branches, leaves or photosynthetic portions of the inflorescence.",80.0
2016-07-21 00:00:00-05:00,Ashland Bottoms KSU 2016 Season Range 7 Pass 9,7,9,39.139103074038,-96.6317321303936,PI576399,"top of the general canopy of the plant, discounting any exceptional branches, leaves or photosynthetic portions of the inflorescence.",80.0
2016-07-21 00:00:00-05:00,Ashland Bottoms KSU 2016 Season Range 25 Pass 14,25,14,39.139745121102294,-96.63156396575408,Richardson,"top of the general canopy of the plant, discounting any exceptional branches, leaves or photosynthetic portions of the inflorescence.",76.3
